#TSPATH/0a/V170/TAPE/Tape.Obs.Read|*|CUNITft|*|RINVAL-777|*|SNAMEOBS WELL 170|*|
#SANRV170|*|CNAMETape|*|
#LAYOUT(timestamp,value,remark)|*|
20221101101900 60.00
20230119085900 58.74
20230426154900 57.15
20230727112800 53.38
#ZRXPVERSION2209.265|*|ZRXPMODEStandard|*|ZRXPCREATORZRXP-Fileexport|*|TZUTC-8|*|
#TSPATH/0a/W065/TAPE/Tape.Obs.Read|*|CUNITft|*|RINVAL-777|*|
#SNAMEWELL 065(PUMPING WELL #65)|*|SANRW065|*|CNAMETape|*|
#LAYOUT(timestamp,value,remark)|*|
#ZRXPVERSION2209.265|*|ZRXPMODEStandard|*|ZRXPCREATORZRXP-Fileexport|*|TZUTC-8|*|
#TSPATH/0a/W343/TAPE/Tape.Obs.Read|*|CUNITft|*|RINVAL-777|*|
#SNAMEWELL 343(PUMPING WELL #343)|*|SANRW343|*|CNAMETape|*|
#LAYOUT(timestamp,value,remark)|*|
#ZRXPVERSION2209.265|*|ZRXPMODEStandard|*|ZRXPCREATORZRXP-Fileexport|*|TZUTC-8|*|
#TSPATH/0a/W391/TAPE/Tape.Obs.Read|*|CUNITft|*|RINVAL-777|*|
#SNAMEWELL 391(PUMPING WELL #391)|*|SANRW391|*|CNAMETape|*|
#LAYOUT(timestamp,value,remark)|*|
#ZRXPVERSION2209.265|*|ZRXPMODEStandard|*|ZRXPCREATORZRXP-Fileexport|*|TZUTC-8|*|
#TSPATH/0a/W395/TAPE/Tape.Obs.Read|*|CUNITft|*|RINVAL-777|*|
#SNAMEWELL 395(PUMPING WELL #395)|*|SANRW395|*|CNAMETape|*|
#LAYOUT(timestamp,value,remark)|*|
#ZRXPVERSION2209.265|*|ZRXPMODEStandard|*|ZRXPCREATORZRXP-Fileexport|*|TZUTC-8|*|
#TSPATH/0a/F024/TAPE/Tape.Obs.Read|*|CUNITft|*|RINVAL-777|*|
#SNAMEFLOWING WELL 024|*|SANRF024|*|CNAMETape|*|
#LAYOUT(timestamp,value,remark)|*|
#ZRXPVERSION2209.265|*|ZRXPMODEStandard|*|ZRXPCREATORZRXP-Fileexport|*|TZUTC-8|*|
#TSPATH/0a/F058/TAPE/Tape.Obs.Read|*|CUNITft|*|RINVAL-777|*|
#SNAMEFLOWING WELL 058|*|SANRF058|*|CNAMETape|*|
#LAYOUT(timestamp,value,remark)|*|
