#ZRXPVERSION2209.265|*|ZRXPMODEStandard|*|ZRXPCREATORZRXP-Fileexport|*|TZUTC-8|*|
#TSPATH/0a/T381/GW/GW.WaterSurfaceElev|*|CUNITft|*|RINVAL-777|*|SNAMET.H. 381|*|
#SANRT381|*|CNAMEGroundWater|*|
#LAYOUT(timestamp,value)|*|
#SANRT448|*|CNAMEGroundWater|*|
#LAYOUT(timestamp,value)|*|
20230423151900 3733.32
#ZRXPVERSION2209.265|*|ZRXPMODEStandard|*|ZRXPCREATORZRXP-Fileexport|*|TZUTC-8|*|
#TSPATH/0a/T464/GW/GW.WaterSurfaceElev|*|CUNITft|*|RINVAL-777|*|SNAMET.H. 464|*|
#SANRT464|*|CNAMEGroundWater|*|
#LAYOUT(timestamp,value)|*|
20221027135100 3773.00
20230416142800 3776.93
#ZRXPVERSION2209.265|*|ZRXPMODEStandard|*|ZRXPCREATORZRXP-Fileexport|*|TZUTC-8|*|
#TSPATH/0a/T630/GW/GW.WaterSurfaceElev|*|CUNITft|*|RINVAL-777|*|SNAMET.H. 630|*|
#SANRT630|*|CNAMEGroundWater|*|
#LAYOUT(timestamp,value)|*|
20221031143500 3806.05
20230120111400 3807.02
20230416075100 3813.10
20230725180100 3813.10
#ZRXPVERSION2209.265|*|ZRXPMODEStandard|*|ZRXPCREATORZRXP-Fileexport|*|TZUTC-8|*|
#TSPATH/0a/T654/GW/GW.WaterSurfaceElev|*|CUNITft|*|RINVAL-777|*|SNAMET.H. 654|*|
#SANRT654|*|CNAMEGroundWater|*|
#LAYOUT(timestamp,value)|*|
20221020133500 3828.08
20221024133500 3816.18
20230123145100 3828.08
20230423123600 3828.08
20230728092200 3828.08
#ZRXPVERSION2209.265|*|ZRXPMODEStandard|*|ZRXPCREATORZRXP-Fileexport|*|TZUTC-8|*|
#TSPATH/0a/T671/GW/GW.WaterSurfaceElev|*|CUNITft|*|RINVAL-777|*|SNAMET.H. 671|*|
#SANRT671|*|CNAMEGroundWater|*|
#LAYOUT(timestamp,value)|*|
20230415082400 3831.71
#ZRXPVERSION2209.265|*|ZRXPMODEStandard|*|ZRXPCREATORZRXP-Fileexport|*|TZUTC-8|*|
#TSPATH/0a/T801/GW/GW.WaterSurfaceElev|*|CUNITft|*|RINVAL-777|*|
#SNAMET.H. 801(MW-14A;VEG.SITE T.H.)|*|SANRT801|*|CNAMEGroundWater|*|
#LAYOUT(timestamp,value)|*|
20221024133800 3826.30
